iter,h,r,c,a
414,1,3023,1,0
415,1,3123,1,0
416,1,3216,1,0
417,1,3319,1,0
418,1,3410,1,0
419,1,3510,1,0
420,1,3612,1,0
421,1,3707,0,0
422,1,3787,0,0
423,1,3884,0,0
424,1,3986,0,0
425,1,4090,0,0
426,1,4169,0,0
427,1,4250,0,0
428,1,4332,0,0
429,1,4378,0,0
430,1,4457,0,0
431,1,4513,0,0
432,1,4555,0,0
433,1,4617,0,0
434,1,4671,0,0
435,1,4723,0,0
436,1,4768,0,0
437,1,4808,0,0
438,1,4863,0,0
439,1,4913,0,0
440,1,4959,0,0
441,1,5009,0,0
442,1,5062,0,0
443,1,5114,0,0
444,1,5159,0,0
445,0,5220,0,0
