iter,h,r,c,a
519,149,17,11,1950
520,149,17,11,1979
521,148,17,11,2001
522,150,17,11,2027
523,148,17,11,2051
524,149,17,11,2064
525,155,17,11,2080
526,154,16,11,2089
527,156,16,11,2097
528,157,16,11,2108
529,161,16,11,2126
530,159,16,11,2145
531,158,16,11,2167
532,161,16,11,2194
533,162,16,11,2221
534,163,16,11,2241
535,166,16,11,2249
536,166,16,11,2266
537,168,16,12,2292
538,166,16,12,2310
539,167,16,12,2323
540,166,16,12,2344
541,167,16,12,2377
542,165,16,12,2410
543,164,16,12,2425
544,164,16,12,2453
545,161,16,13,2477
546,162,16,13,2503
547,162,16,13,2536
548,161,16,13,2569
549,160,15,13,2586
550,161,15,13,2608
551,159,15,13,2633
552,154,15,13,2659
553,155,15,13,2675
554,155,15,13,2685
555,153,15,14,2707
556,151,15,13,2719
557,152,15,12,2740
558,152,15,12,2758
559,152,15,12,2779
560,153,15,12,2812
561,153,15,12,2845
562,152,15,13,2866
563,154,15,13,2892
564,153,15,13,2916
565,156,15,13,2937
566,156,15,13,2965
567,159,15,13,2990
568,159,15,13,3008
569,165,15,13,3036
570,168,15,13,3066
571,169,15,13,3098
572,171,14,13,3122
573,171,14,13,3157
574,171,14,14,3201
575,170,14,14,3219
576,169,14,14,3242
577,170,14,14,3258
578,172,14,14,3282
579,172,14,14,3305
580,173,14,14,3321
581,176,14,14,3355
582,177,14,14,3375
583,178,14,14,3400
584,178,14,14,3433
585,178,14,14,3470
586,179,14,14,3498
587,179,14,14,3535
588,180,14,14,3562
589,181,14,14,3592
590,181,14,14,3612
591,183,14,14,3643
592,183,14,15,3683
593,184,14,15,3702
594,184,14,15,3731
595,184,14,15,3758
596,183,14,15,3787
597,184,14,15,3805
598,184,14,16,3833
599,184,14,15,3856
600,188,14,15,3880
601,188,14,15,3901
602,192,14,15,3934
603,193,14,14,3955
604,195,14,14,3984
605,195,14,14,4012
606,195,14,14,4048
607,197,14,14,4070
608,200,14,14,4109
609,202,14,14,4146
610,203,14,14,4164
611,203,14,14,4188
612,203,14,14,4213
613,208,14,15,4228
614,210,14,15,4266
615,209,14,15,4290
616,209,14,15,4315
617,209,14,15,4338
